id     raj2000     dej2000     U     SU     B     SB     V     SV     R     SR     I     SI     Plx     e_Plx     P
19 232.427598 -64.839442 20.9411 0.1249 20.1220 0.0487 18.9849 0.0419 18.1071 0.0375 17.5470 0.0486 0.3761 0.0100 1.0000
20 232.394266 -64.843120 20.0268 0.0684 19.5514 0.0397 18.4110 0.0361 17.7513 0.0318 16.9913 0.0395 0.3923 0.0100 1.0000
21 232.443436 -64.761958 19.9400 0.0635 19.4946 0.0387 18.3368 0.0355 17.6847 0.0312 17.0159 0.0389 0.4264 0.0100 1.0000
22 232.476223 -64.962291 15.0626 0.0310 14.8760 0.0308 14.4186 0.0288 14.2112 0.0241 13.9186 0.0285 0.3842 0.0100 1.0000
23 232.449520 -64.859746 17.7576 0.0328 17.3638 0.0315 16.5464 0.0296 16.0872 0.0251 15.6208 0.0297 0.3848 0.0100 1.0000
24 232.400147 -64.824711 15.0572 0.0310 14.7635 0.0308 14.3595 0.0288 14.0748 0.0241 13.8131 0.0284 0.4082 0.0100 1.0000
25 232.404419 -64.871207 15.8032 0.0311 15.3876 0.0308 14.9065 0.0288 14.6581 0.0242 14.3193 0.0286 0.4308 0.0100 1.0000
26 232.498916 -64.816317 20.3859 0.0831 19.7957 0.0423 18.4692 0.0379 17.9010 0.0336 17.2349 0.0426 0.4145 0.0100 1.0000
27 232.422872 -64.818247 17.9747 0.0335 17.6263 0.0317 16.7900 0.0298 16.2444 0.0253 15.7766 0.0301 0.4308 0.0100 1.0000
28 232.507856 -64.831974 14.8971 0.0310 14.7422 0.0308 14.3289 0.0288 14.0636 0.0241 13.7412 0.0284 0.3695 0.0100 1.0000
29 232.447947 -64.816711 19.2721 0.0436 18.7138 0.0342 17.6768 0.0318 16.9829 0.0272 16.3258 0.0326 0.4182 0.0100 1.0000
30 232.425521 -64.875965 16.3691 0.0313 15.9975 0.0309 15.4283 0.0289 15.0282 0.0243 14.7371 0.0287 0.3970 0.0100 1.0000
31 232.475649 -64.851325 19.9155 0.0603 19.4436 0.0381 18.3054 0.0351 17.5877 0.0308 16.9227 0.0382 0.4284 0.0100 1.0000
32 232.449251 -64.902305 15.8913 0.0311 15.5164 0.0309 15.0373 0.0288 14.7398 0.0242 14.3882 0.0286 0.3728 0.0100 1.0000
33 232.475280 -64.868112 20.3865 0.0805 19.6806 0.0418 18.5708 0.0376 17.8695 0.0333 17.2376 0.0421 0.4025 0.0100 1.0000
34 232.391258 -64.793291 15.9874 0.0311 15.6493 0.0309 15.1025 0.0289 14.7906 0.0242 14.5004 0.0286 0.4230 0.0100 1.0000
35 232.458605 -64.829965 13.9807 0.0309 13.9535 0.0308 13.5582 0.0287 13.3657 0.0240 13.0761 0.0284 0.3937 0.0100 1.0000
36 232.426579 -64.870888 17.9843 0.0334 17.5822 0.0317 16.8282 0.0298 16.2622 0.0253 15.6705 0.0301 0.4430 0.0100 1.0000
37 232.391873 -64.951584 20.4357 0.0872 19.7827 0.0430 18.5648 0.0383 17.9530 0.0340 17.2945 0.0432 0.3978 0.0100 1.0000
38 232.457584 -64.840165 14.3470 0.0310 14.2585 0.0308 13.7961 0.0287 13.5506 0.0241 13.2708 0.0284 0.4155 0.0100 1.0000
39 232.505862 -64.784101 17.5534 0.0325 17.2245 0.0314 16.5065 0.0295 15.9869 0.0249 15.4891 0.0296 0.3813 0.0100 1.0000
40 232.440726 -64.955819 14.6087 0.0310 14.5216 0.0308 14.1250 0.0287 13.8208 0.0241 13.5886 0.0284 0.4130 0.0100 1.0000
41 232.436773 -64.849259 17.8875 0.0332 17.5364 0.0316 16.6073 0.0297 16.0968 0.0251 15.4088 0.0297 0.3932 0.0100 1.0000
42 232.381764 -64.825668 18.0907 0.0337 17.7458 0.0318 16.8681 0.0299 16.3161 0.0254 15.7000 0.0302 0.3981 0.0100 1.0000
43 232.494536 -64.822220 13.6766 0.0309 13.5711 0.0308 13.2047 0.0287 12.9348 0.0240 12.6687 0.0283 0.3973 0.0100 1.0000
44 232.423464 -64.797632 20.6380 0.1136 20.0742 0.0471 18.8357 0.0409 18.1448 0.0365 17.5378 0.0470 0.3957 0.0100 1.0000
45 232.430852 -64.887427 15.1796 0.0310 14.9592 0.0308 14.4523 0.0288 14.2709 0.0241 13.9820 0.0285 0.3845 0.0100 1.0000
46 232.514237 -64.903904 15.5081 0.0310 15.1827 0.0308 14.7271 0.0288 14.4886 0.0242 14.1868 0.0285 0.3808 0.0100 1.0000
47 232.453881 -64.854172 20.9169 0.1539 20.2591 0.0528 19.0497 0.0442 18.2960 0.0397 17.6396 0.0521 0.3994 0.0100 1.0000
48 232.456011 -64.743837 15.3234 0.0310 15.0581 0.0308 14.5815 0.0288 14.3836 0.0241 14.0023 0.0285 0.4135 0.0100 1.0000
49 232.375215 -64.816101 16.4662 0.0313 16.0682 0.0309 15.5132 0.0290 15.1775 0.0243 14.7521 0.0288 0.4085 0.0100 1.0000
50 232.450778 -64.855428 15.5960 0.0311 15.2697 0.0308 14.7878 0.0288 14.5132 0.0242 14.2008 0.0285 0.3824 0.0100 1.0000
51 232.445513 -64.884651 20.2258 0.0744 19.7005 0.0408 18.4871 0.0369 17.8537 0.0326 17.2145 0.0410 0.3722 0.0100 1.0000
52 232.491510 -64.861372 15.3806 0.0310 15.0995 0.0308 14.6156 0.0288 14.2805 0.0241 13.9993 0.0285 0.4051 0.0100 1.0000
53 232.491849 -64.727846 20.6911 0.1120 19.9650 0.0448 18.6559 0.0384 17.8671 0.0333 17.1481 0.0410 0.3999 0.0100 1.0000
54 232.580191 -64.913502 17.4993 0.0323 17.1850 0.0313 16.3154 0.0294 15.9476 0.0248 15.4275 0.0295 0.3816 0.0100 1.0000
55 232.398930 -64.854728 15.6434 0.0311 15.3333 0.0308 14.8047 0.0288 14.5256 0.0242 14.2407 0.0285 0.4011 0.0100 1.0000
56 232.431085 -64.864125 12.9412 0.0309 12.8348 0.0308 12.4292 0.0287 12.2070 0.0240 11.8880 0.0283 0.4055 0.0100 1.0000
57 232.488414 -64.884407 14.4483 0.0310 14.3598 0.0308 13.9133 0.0287 13.6729 0.0241 13.3933 0.0284 0.3956 0.0100 1.0000
58 232.432402 -64.835490 20.3708 0.0947 19.9225 0.0442 18.6744 0.0391 17.9498 0.0348 17.2889 0.0444 0.3965 0.0100 1.0000
59 232.471594 -64.805371 17.4978 0.0323 17.1126 0.0313 16.2403 0.0293 15.8110 0.0247 15.2439 0.0293 0.3917 0.0100 1.0000
60 232.587965 -64.836818 15.3571 0.0310 14.9938 0.0308 14.4103 0.0288 14.1112 0.0241 13.7651 0.0284 0.3844 0.0100 1.0000
61 232.463687 -64.709457 16.5011 0.0313 16.1541 0.0309 15.4412 0.0289 15.0053 0.0243 14.5531 0.0287 0.3887 0.0100 1.0000
62 232.458549 -64.879720 12.8526 0.0309 12.6483 0.0308 12.2990 0.0287 12.0331 0.0240 11.7977 0.0283 0.3875 0.0100 1.0000
63 232.472039 -64.877223 17.4280 0.0322 17.0215 0.0312 16.3408 0.0293 15.8026 0.0248 15.3609 0.0294 0.4153 0.0100 1.0000
64 232.449930 -64.933426 12.9340 0.0309 12.7856 0.0308 12.4698 0.0287 12.2246 0.0240 11.9221 0.0283 0.4236 0.0100 1.0000
65 232.466022 -64.852974 20.6559 0.1254 20.1673 0.0488 18.8524 0.0419 18.1768 0.0374 17.4397 0.0480 0.3692 0.0100 1.0000
66 232.453710 -64.857494 20.0647 0.0675 19.5680 0.0394 18.3136 0.0359 17.6566 0.0314 17.0161 0.0387 0.4058 0.0100 1.0000
67 232.405641 -64.855578 19.7768 0.0560 19.3064 0.0372 18.1667 0.0344 17.5085 0.0301 16.8366 0.0372 0.4173 0.0100 1.0000
68 232.314252 -64.863932 18.8727 0.0390 18.5439 0.0334 17.5698 0.0314 16.9451 0.0270 16.3635 0.0325 0.3722 0.0100 1.0000
69 232.445330 -64.863321 18.1069 0.0337 17.7417 0.0318 16.8494 0.0299 16.2951 0.0254 15.8085 0.0302 0.4047 0.0100 1.0000
70 232.451715 -64.861826 16.1808 0.0312 15.7595 0.0309 15.0508 0.0289 14.7473 0.0242 14.2694 0.0286 0.4026 0.0100 1.0000
71 232.493008 -64.749161 16.0960 0.0312 15.6790 0.0309 15.1443 0.0289 14.8167 0.0242 14.4251 0.0287 0.3922 0.0100 1.0000
72 232.463217 -64.850909 13.0569 0.0309 13.0357 0.0308 12.7267 0.0287 12.4657 0.0240 12.1419 0.0283 0.4022 0.0100 1.0000
73 232.450317 -64.861482 15.6524 0.0311 15.3238 0.0308 14.8605 0.0288 14.6167 0.0242 14.2977 0.0285 0.3935 0.0100 1.0000
74 232.436185 -64.867139 17.2349 0.0319 16.9479 0.0311 16.0955 0.0292 15.7276 0.0247 15.2516 0.0292 0.3912 0.0100 1.0000
75 232.449452 -64.829616 18.9457 0.0393 18.4446 0.0332 17.3612 0.0310 16.7058 0.0263 16.1080 0.0313 0.3887 0.0100 1.0000
76 232.380064 -64.788692 19.6922 0.0525 19.1978 0.0365 18.0872 0.0339 17.4593 0.0296 16.7992 0.0364 0.4083 0.0100 1.0000
77 232.362019 -64.908149 17.2037 0.0320 16.8848 0.0312 16.1312 0.0293 15.6891 0.0247 15.2574 0.0293 0.3983 0.0100 1.0000
78 232.491264 -64.783047 18.7722 0.0377 18.4529 0.0330 17.3530 0.0310 16.7934 0.0266 16.2146 0.0318 0.3985 0.0100 1.0000
79 232.405696 -64.906832 16.2959 0.0312 15.8743 0.0309 15.2821 0.0289 14.9744 0.0243 14.6099 0.0287 0.4042 0.0100 1.0000
80 232.382346 -64.815126 14.0458 0.0309 13.9364 0.0308 13.6173 0.0287 13.3241 0.0240 13.0211 0.0284 0.4055 0.0100 1.0000
81 232.440635 -64.918513 19.4434 0.0470 18.9895 0.0353 17.9008 0.0330 17.2913 0.0286 16.6229 0.0349 0.3928 0.0100 1.0000
82 232.523214 -64.723382 16.5053 0.0313 16.1305 0.0309 15.4764 0.0289 15.0602 0.0243 14.6656 0.0287 0.3921 0.0100 1.0000
83 232.457950 -64.877139 17.1948 0.0319 16.8082 0.0311 16.1145 0.0292 15.6557 0.0246 15.2005 0.0292 0.3902 0.0100 1.0000
84 232.466557 -64.909492 19.2107 0.0429 18.7632 0.0344 17.7820 0.0322 17.1648 0.0279 16.5233 0.0338 0.4096 0.0100 1.0000
85 232.440713 -64.884634 17.2231 0.0319 16.8256 0.0311 16.0993 0.0292 15.6881 0.0246 15.2239 0.0292 0.3800 0.0100 1.0000
86 232.440509 -64.852555 15.1881 0.0310 14.8802 0.0308 14.4998 0.0288 14.2574 0.0241 13.9046 0.0285 0.3913 0.0100 1.0000
87 232.481791 -64.803077 18.3453 0.0347 17.9930 0.0321 17.0262 0.0302 16.4553 0.0257 15.9570 0.0307 0.3986 0.0100 1.0000
88 232.420755 -64.880859 14.0819 0.0309 13.9628 0.0308 13.5770 0.0287 13.3226 0.0240 13.0115 0.0284 0.3758 0.0100 1.0000
89 232.425054 -64.756424 17.4708 0.0323 17.1139 0.0313 16.3496 0.0294 15.8591 0.0248 15.3125 0.0294 0.3808 0.0100 1.0000
90 232.466490 -64.914639 18.6529 0.0375 18.3692 0.0329 17.3708 0.0310 16.8214 0.0266 16.2668 0.0319 0.4394 0.0100 1.0000
91 232.406066 -64.851467 20.2736 0.0831 19.7024 0.0423 18.6241 0.0379 17.9142 0.0336 17.2350 0.0426 0.4198 0.0100 1.0000
92 232.295329 -64.886576 15.7316 0.0311 15.3326 0.0308 14.8466 0.0288 14.5375 0.0242 14.2398 0.0285 0.3986 0.0100 1.0000
93 232.439785 -64.854130 12.8057 0.0309 12.7690 0.0308 12.3832 0.0287 12.1152 0.0240 11.8368 0.0283 0.3765 0.0100 1.0000
94 232.515391 -64.809941 15.0542 0.0310 14.8593 0.0308 14.3902 0.0288 14.0927 0.0241 13.8716 0.0284 0.4275 0.0100 1.0000
95 232.409469 -64.837807 19.3522 0.0472 19.0672 0.0354 17.8714 0.0330 17.2611 0.0287 16.7147 0.0349 0.3977 0.0100 1.0000
96 232.467591 -64.864420 17.4671 0.0323 17.1711 0.0313 16.3403 0.0294 15.8894 0.0248 15.3312 0.0294 0.4166 0.0100 1.0000
97 232.539792 -64.851235 14.1476 0.0310 14.0060 0.0308 13.7087 0.0287 13.4358 0.0240 13.1837 0.0284 0.3872 0.0100 1.0000
98 232.421832 -64.758154 15.1420 0.0310 14.9086 0.0308 14.4941 0.0288 14.2018 0.0241 13.8272 0.0285 0.4223 0.0100 1.0000
99 232.513612 -64.808863 18.0932 0.0341 17.8448 0.0319 16.8234 0.0300 16.3683 0.0255 15.8338 0.0303 0.4313 0.0100 1.0000
100 232.421668 -64.885766 20.7875 0.1249 20.1181 0.0487 18.8686 0.0419 18.1181 0.0375 17.5451 0.0486 0.3944 0.0100 1.0000
101 232.469106 -64.907280 17.3561 0.0321 16.9767 0.0312 16.1515 0.0292 15.6178 0.0246 15.0698 0.0291 0.4164 0.0100 1.0000
102 232.476076 -64.851860 12.7525 0.0309 12.6179 0.0308 12.2920 0.0287 12.0347 0.0240 11.7526 0.0283 0.3941 0.0100 1.0000
103 232.430221 -64.846939 19.4157 0.0470 18.9967 0.0353 17.9995 0.0330 17.3182 0.0286 16.7387 0.0350 0.4111 0.0100 1.0000
104 232.442448 -64.869829 13.2995 0.0309 13.2780 0.0308 12.9247 0.0287 12.6855 0.0240 12.4080 0.0283 0.3842 0.0100 1.0000
105 232.389567 -64.857250 14.9164 0.0310 14.6860 0.0308 14.3083 0.0288 14.0329 0.0241 13.7067 0.0284 0.3664 0.0100 1.0000
106 232.424186 -64.899560 15.6162 0.0311 15.2907 0.0308 14.7441 0.0288 14.5297 0.0242 14.1696 0.0285 0.3895 0.0100 1.0000
107 232.439143 -64.839491 13.6423 0.0309 13.5534 0.0308 13.2464 0.0287 13.0314 0.0240 12.6708 0.0283 0.4200 0.0100 1.0000
108 232.502556 -64.752262 18.7219 0.0377 18.4339 0.0330 17.3832 0.0310 16.8368 0.0266 16.2104 0.0318 0.4319 0.0100 1.0000
109 232.454932 -64.821284 17.7019 0.0327 17.3224 0.0314 16.5707 0.0296 16.0601 0.0250 15.4949 0.0297 0.4273 0.0100 1.0000
110 232.451497 -64.859366 19.0094 0.0406 18.6322 0.0338 17.6626 0.0318 17.0760 0.0274 16.4541 0.0331 0.3984 0.0100 1.0000
111 232.457038 -64.874233 20.8538 0.1546 20.3150 0.0529 19.0929 0.0443 18.3043 0.0398 17.5762 0.0521 0.3998 0.0100 1.0000
112 232.459782 -64.864508 16.5814 0.0313 16.0939 0.0309 15.5249 0.0290 15.2043 0.0244 14.7908 0.0288 0.3904 0.0100 1.0000
113 232.444893 -64.870592 14.5975 0.0310 14.2555 0.0308 13.8511 0.0287 13.5640 0.0241 13.3143 0.0284 0.3971 0.0100 1.0000
114 232.404743 -64.763445 16.7088 0.0315 16.3416 0.0310 15.6495 0.0290 15.3009 0.0244 14.9138 0.0289 0.3894 0.0100 1.0000
115 232.384333 -64.868508 19.8360 0.0569 19.3146 0.0374 18.1942 0.0346 17.5966 0.0303 16.9173 0.0374 0.4172 0.0100 1.0000
116 232.364455 -64.720236 16.6197 0.0314 16.2464 0.0310 15.6229 0.0290 15.2570 0.0244 14.8502 0.0289 0.3587 0.0100 1.0000
117 232.431809 -64.880825 14.2770 0.0310 14.0897 0.0308 13.7280 0.0287 13.4274 0.0240 13.1871 0.0284 0.4182 0.0100 1.0000
118 232.455178 -64.841081 17.1898 0.0319 16.8803 0.0311 16.1157 0.0292 15.6836 0.0247 15.2656 0.0292 0.4118 0.0100 1.0000
119 232.438738 -64.875585 15.4813 0.0310 15.1569 0.0308 14.7297 0.0288 14.4170 0.0241 14.1020 0.0285 0.3995 0.0100 1.0000
120 232.413755 -64.873297 18.7744 0.0383 18.4734 0.0331 17.4808 0.0312 16.8936 0.0268 16.2929 0.0322 0.3862 0.0100 1.0000
121 232.419632 -64.850620 20.9267 0.1233 20.1439 0.0485 18.8538 0.0418 18.1882 0.0374 17.4163 0.0484 0.3411 0.0100 1.0000
122 232.469388 -64.857310 16.2219 0.0312 15.9189 0.0309 15.1858 0.0289 14.7352 0.0242 14.3312 0.0286 0.3975 0.0100 1.0000
123 232.445136 -64.849268 20.5148 0.0909 19.8317 0.0435 18.6563 0.0386 17.8736 0.0343 17.2366 0.0432 0.4265 0.0100 1.0000
124 232.497183 -64.831779 20.7200 0.1066 20.0053 0.0460 18.7712 0.0402 18.0504 0.0359 17.3422 0.0460 0.3862 0.0100 1.0000
125 232.442111 -64.851710 17.9177 0.0334 17.5621 0.0316 16.6239 0.0297 16.0800 0.0251 15.5058 0.0296 0.3584 0.0100 1.0000
126 232.462780 -64.826799 15.9963 0.0311 15.5829 0.0309 14.9737 0.0288 14.6940 0.0242 14.3600 0.0286 0.4173 0.0100 1.0000
127 232.414858 -64.836294 20.8330 0.0991 19.9791 0.0449 18.7936 0.0395 18.0094 0.0352 17.2940 0.0449 0.3877 0.0100 1.0000
128 232.385280 -64.776390 15.7576 0.0311 15.3944 0.0308 14.8306 0.0288 14.6187 0.0242 14.2957 0.0286 0.3745 0.0100 1.0000
129 232.413580 -64.822436 18.0574 0.0337 17.7271 0.0317 16.7921 0.0298 16.1718 0.0252 15.6123 0.0298 0.3937 0.0100 1.0000
130 232.390522 -64.938930 15.0543 0.0310 14.8219 0.0308 14.4328 0.0288 14.1277 0.0241 13.8680 0.0285 0.4046 0.0100 1.0000
131 232.336211 -64.917191 17.5433 0.0324 17.2180 0.0313 16.3861 0.0294 15.9302 0.0249 15.4115 0.0295 0.4107 0.0100 1.0000
132 232.554362 -64.746198 16.7556 0.0315 16.4190 0.0310 15.7251 0.0290 15.2402 0.0244 14.7241 0.0288 0.4027 0.0100 1.0000
133 232.392232 -64.988191 15.3637 0.0310 15.0880 0.0308 14.6644 0.0288 14.3511 0.0241 14.0496 0.0285 0.3903 0.0100 1.0000
134 232.452228 -64.854351 14.2078 0.0310 14.0905 0.0308 13.6129 0.0287 13.3793 0.0240 13.1729 0.0284 0.4146 0.0100 1.0000
135 232.445529 -64.814391 15.6205 0.0311 15.3079 0.0308 14.8188 0.0288 14.4938 0.0242 14.2323 0.0285 0.3799 0.0100 1.0000
136 232.498085 -64.955636 14.5623 0.0310 14.3754 0.0308 13.9653 0.0287 13.7886 0.0241 13.5337 0.0284 0.3593 0.0100 1.0000
137 232.452018 -64.858320 14.2804 0.0310 14.1880 0.0308 13.7625 0.0287 13.5442 0.0240 13.2712 0.0284 0.3991 0.0100 1.0000
138 232.376052 -64.804111 17.1377 0.0319 16.8221 0.0311 16.0394 0.0292 15.5519 0.0246 15.1279 0.0291 0.4142 0.0100 1.0000
139 232.557153 -64.820436 18.4767 0.0360 18.2169 0.0325 17.2141 0.0306 16.6634 0.0261 16.0623 0.0313 0.3718 0.0100 1.0000
140 232.414078 -64.851124 15.8471 0.0311 15.5071 0.0308 14.9487 0.0288 14.6796 0.0242 14.3741 0.0286 0.3833 0.0100 1.0000
141 232.515788 -64.865040 15.8095 0.0311 15.3577 0.0308 14.9109 0.0288 14.6826 0.0242 14.3513 0.0286 0.3889 0.0100 1.0000
142 232.443879 -64.825062 16.9679 0.0317 16.6676 0.0311 15.9099 0.0291 15.5396 0.0245 15.0870 0.0290 0.3845 0.0100 1.0000
143 232.499970 -64.848808 12.7976 0.0309 12.7097 0.0308 12.2753 0.0287 12.0551 0.0240 11.7144 0.0283 0.4169 0.0100 1.0000
144 232.441813 -64.874370 20.4478 0.1090 19.9951 0.0461 18.6870 0.0400 18.0566 0.0353 17.2699 0.0441 0.4122 0.0100 1.0000
145 232.482177 -64.874584 17.2092 0.0319 16.8586 0.0311 16.0746 0.0292 15.6782 0.0246 15.1715 0.0292 0.4046 0.0100 1.0000
146 232.497871 -64.836554 15.6927 0.0311 15.3954 0.0308 14.8740 0.0288 14.5978 0.0242 14.2857 0.0286 0.4251 0.0100 1.0000
147 232.491837 -64.798754 15.4663 0.0310 15.1598 0.0308 14.6278 0.0288 14.4077 0.0241 14.1144 0.0285 0.3898 0.0100 1.0000
148 232.449166 -64.854734 14.6546 0.0310 13.4627 0.0308 11.9828 0.0287 11.1374 0.0240 10.3495 0.0283 0.3744 0.0100 1.0000
149 232.450231 -64.851538 15.6333 0.0311 15.2855 0.0308 14.8435 0.0288 14.5286 0.0242 14.2451 0.0285 0.3667 0.0100 1.0000
150 232.448446 -64.852885 19.1491 0.0414 18.6794 0.0340 17.6201 0.0319 17.0350 0.0276 16.4828 0.0333 0.3828 0.0100 1.0000
151 232.495198 -64.900571 17.0853 0.0318 16.7695 0.0311 16.0176 0.0292 15.6438 0.0246 15.2039 0.0292 0.4313 0.0100 1.0000
152 232.433927 -64.936393 17.2271 0.0319 16.8957 0.0311 15.9642 0.0292 15.4715 0.0245 14.9722 0.0289 0.4173 0.0100 1.0000
153 232.444995 -64.831902 19.9487 0.0615 19.4741 0.0383 18.3225 0.0352 17.6292 0.0309 16.9582 0.0383 0.4301 0.0100 1.0000
154 232.450195 -64.785459 15.9443 0.0311 15.5652 0.0309 15.0731 0.0288 14.7639 0.0242 14.4205 0.0286 0.4163 0.0100 1.0000
155 232.459906 -64.857533 14.2594 0.0310 14.0253 0.0308 13.6655 0.0287 13.3133 0.0240 13.0293 0.0284 0.3931 0.0100 1.0000
156 232.431853 -64.875801 15.8770 0.0311 15.5495 0.0309 15.0227 0.0288 14.7427 0.0242 14.3896 0.0286 0.4031 0.0100 1.0000
157 232.468648 -64.930874 15.2234 0.0310 14.9158 0.0308 14.5880 0.0288 14.2328 0.0241 13.9379 0.0285 0.3584 0.0100 1.0000
158 232.438154 -64.853564 19.2491 0.0434 18.8605 0.0345 17.8112 0.0323 17.1957 0.0280 16.5975 0.0340 0.4220 0.0100 1.0000
159 232.400542 -64.796805 13.0857 0.0309 13.0335 0.0308 12.7004 0.0287 12.4469 0.0240 12.1673 0.0283 0.3961 0.0100 1.0000
160 232.383444 -64.853175 18.1725 0.0342 17.8344 0.0319 16.9481 0.0301 16.4079 0.0256 15.8404 0.0304 0.3872 0.0100 1.0000
161 232.421377 -64.854579 18.4008 0.0351 18.0601 0.0322 17.1104 0.0304 16.5740 0.0259 16.0337 0.0309 0.3787 0.0100 1.0000
162 232.471927 -64.815137 14.2213 0.0310 14.0868 0.0308 13.7637 0.0287 13.4662 0.0240 13.2040 0.0284 0.4071 0.0100 1.0000
163 232.433987 -64.904570 16.1024 0.0312 15.7325 0.0309 15.2030 0.0289 14.8612 0.0242 14.5204 0.0287 0.3842 0.0100 1.0000
164 232.478106 -64.886766 18.1904 0.0342 17.9080 0.0319 16.8565 0.0301 16.3730 0.0256 15.8537 0.0304 0.4175 0.0100 1.0000
165 232.443514 -64.999675 16.5719 0.0314 16.2273 0.0309 15.6167 0.0290 15.2140 0.0244 14.7969 0.0288 0.3885 0.0100 1.0000
166 232.450068 -64.855314 20.3246 0.0797 19.6886 0.0417 18.5931 0.0375 17.8741 0.0332 17.2323 0.0420 0.4272 0.0100 1.0000
167 232.413968 -64.874269 16.2180 0.0312 15.7821 0.0309 15.2360 0.0289 14.8764 0.0243 14.5301 0.0287 0.4113 0.0100 1.0000
168 232.439462 -64.855794 18.6326 0.0369 18.2471 0.0327 17.3264 0.0308 16.7794 0.0264 16.2214 0.0316 0.4245 0.0100 1.0000
169 232.427268 -64.750152 20.0650 0.0643 19.4727 0.0388 18.3987 0.0353 17.5683 0.0308 16.9071 0.0378 0.4163 0.0100 1.0000
170 232.481988 -64.811281 15.6683 0.0311 15.3754 0.0308 14.9108 0.0288 14.5897 0.0242 14.2944 0.0286 0.3793 0.0100 1.0000
171 232.553633 -64.986414 19.0254 0.0406 18.6867 0.0338 17.6055 0.0318 17.0432 0.0274 16.4105 0.0331 0.3785 0.0100 1.0000
172 232.567377 -64.948336 18.0794 0.0338 17.6773 0.0318 16.8577 0.0299 16.3231 0.0254 15.7335 0.0302 0.4047 0.0100 1.0000
173 232.515634 -64.970488 19.9775 0.0615 19.4535 0.0383 18.3116 0.0352 17.6151 0.0309 16.9827 0.0384 0.3944 0.0100 1.0000
174 232.402265 -64.868188 16.5127 0.0314 16.2194 0.0309 15.4889 0.0289 15.0050 0.0243 14.5318 0.0287 0.3921 0.0100 1.0000
175 232.557161 -64.913085 18.0733 0.0337 17.6801 0.0318 16.8372 0.0299 16.3299 0.0254 15.7429 0.0302 0.4035 0.0100 1.0000
176 232.482595 -64.890581 19.2504 0.0447 18.8168 0.0345 17.6800 0.0320 17.0745 0.0274 16.3763 0.0328 0.4238 0.0100 1.0000
177 232.528244 -64.762169 17.8478 0.0331 17.5382 0.0315 16.6493 0.0297 16.1016 0.0251 15.6580 0.0299 0.3923 0.0100 1.0000
